index,area,perimeter,min_xpos,min_ypos,max_xpos,max_ypos,center_x,center_y,integral_CH0,min_CH0,max_CH0,ave_CH0,std_CH0,integral_CH1,min_CH1,max_CH1,ave_CH1,std_CH1,integral_CH2,min_CH2,max_CH2,ave_CH2,std_CH2,integral_CH3,min_CH3,max_CH3,ave_CH3,std_CH3,integral_CH4,min_CH4,max_CH4,ave_CH4,std_CH4,ch0_org_min,ch0_org_max,ch0_org_ave,ch0_org_std,ch1_dif_min,ch1_dif_max,ch1_dif_ave,ch1_dif_std,ch2_dif_min,ch2_dif_max,ch2_dif_ave,ch2_dif_std,ch3_dif_min,ch3_dif_max,ch3_dif_ave,ch3_dif_std,id,count12,frequency,tmu_timestamp,sort,n_total,n_sort,s_rate,proc_time,time_idt,id,abs_time,srs_img,fire1_img,fire2_img,fire3_img,proc_begin,proc_end,ch12_abs_time,id,ch12_cycles,frequency,ch12_timestamp,ch13_abs_time,ch13_cycles,ch13_timestamp,proc_end,sort_validation
0_31,113,49,36,6,58,15,46,10,3904,0,45,28.7059,8.88829,2770,0,32,20.3676,6.16657,2834,0,32,20.8382,6.29334,4309,0,51,31.6838,9.35627,3455,0,39,25.4044,7.53851,0,44,8.05355,6.83713,0,15,1.58962,1.90022,0,15,3.11011,1.92287,0,13,4.56066,2.08884,63498,300000,50000000,2686654177,0,32,0,0.00,4664,--,63498,287213631,0,0,0,0,420,4664,262123570,63406,300000,50000000,1428603179,-1543226435814404,0,0,6712,0
0_32,114,49,34,6,56,15,44,10,3956,0,46,28.8759,8.51743,2777,0,31,20.2701,5.78382,2848,0,32,20.7883,6.01268,4247,0,48,31,8.49302,3458,0,38,25.2409,7.1097,0,45,7.81011,6.7734,0,18,1.7123,1.93657,0,15,3.18033,1.90663,0,11,4.57568,1.99343,63503,300000,50000000,2737621945,0,33,0,0.00,6293,--,63503,288278967,0,0,0,0,494,6293,262540547,63407,300000,50000000,1449452444,-1543226435814404,0,0,4683,0
0_33,97,47,30,6,52,14,40,10,3572,0,40,30.0168,6.44952,2598,0,31,21.8319,4.54542,2690,0,31,22.605,4.52485,3922,0,45,32.958,6.82851,3195,0,36,26.8487,5.44898,0,40,7.70546,6.39793,0,15,1.54645,1.7682,0,13,3.10738,1.78586,0,11,4.42377,2.08702,63513,300000,50000000,2862227235,0,34,0,0.00,5797,--,63513,290704273,0,0,0,0,441,5797,262624915,63408,300000,50000000,1453671028,-1543226435814404,0,0,4717,0
0_34,65,43,33,7,53,14,42,10,1163,2,23,13.6824,3.63063,1987,4,33,23.3765,5.48576,1417,2,24,16.6706,3.58227,1246,3,23,14.6588,3.15689,1457,3,24,17.1412,3.33309,0,21,6.54153,4.42005,0,21,1.69508,2.01047,0,10,3.08142,1.47305,0,11,4.45219,2.07408,63514,300000,50000000,2862970867,1,35,1,2.86,5138,--,63514,290796996,0,0,0,0,408,5138,262774940,63409,300000,50000000,1461169725,-1543226435814404,0,0,4682,0
0_35,104,49,25,6,47,15,35,10,3697,0,39,29.1102,7.03672,2639,0,28,20.7795,5.21342,2737,0,29,21.5512,5.62854,4107,0,45,32.3386,7.54537,3289,0,34,25.8976,6.1986,0,39,7.73443,6.50569,0,14,1.56803,1.82754,0,14,3.07186,1.81975,0,11,4.46585,2.11866,63517,300000,50000000,2881604851,0,36,1,2.78,5307,--,63517,291162714,0,0,0,0,391,5307,263412890,63410,300000,50000000,1493068532,263439869,1650000,1494418529,4637,0
0_36,112,49,25,6,47,15,35,10,3960,0,42,29.3333,7.34242,2787,0,32,20.6444,5.30893,2895,0,32,21.4444,5.53864,4405,0,46,32.6296,7.68331,3512,0,37,26.0148,6.32688,0,41,7.79044,6.62699,0,14,1.62923,1.90469,0,14,3.11885,1.87501,0,12,4.50683,2.06591,63518,300000,50000000,2882983116,0,37,1,2.70,4738,--,63518,291184480,0,0,0,0,501,4738,263426265,63411,300000,50000000,1493738325,263453292,1650000,1495088330,4684,0
0_37,107,49,25,6,47,15,35,10,3753,0,43,28.8692,8.2503,2669,0,31,20.5308,6.23907,2744,0,33,21.1077,6.34307,4126,0,46,31.7385,8.58223,3330,0,37,25.6154,7.24557,0,42,7.74508,6.51998,0,14,1.59071,1.83506,0,14,3.12131,1.82979,0,13,4.51257,2.10687,63519,300000,50000000,2883045354,0,38,1,2.63,6717,--,63519,291212099,0,0,0,0,419,6717,263588811,63412,300000,50000000,1501863276,-1543226435814404,0,0,4582,0
0_38,106,48,26,6,48,15,36,10,3680,0,40,28.75,7.37818,2636,0,32,20.5938,5.58099,2736,0,31,21.375,5.70362,4102,0,43,32.0469,7.51754,3292,0,36,25.7188,6.4128,0,39,7.67896,6.46799,0,13,1.5541,1.77615,0,13,3.07486,1.80448,0,12,4.47268,2.11502,63521,300000,50000000,2888078186,0,39,1,2.56,4898,--,63521,291297988,0,0,0,0,441,4898,263803683,63413,300000,50000000,1512608825,-1543226435814404,0,0,4714,0
0_39,104,48,25,6,47,14,35,10,3762,0,42,29.622,6.61295,2696,0,31,21.2283,4.67728,2772,0,32,21.8268,4.79517,4110,0,46,32.3622,6.61503,3330,0,38,26.2205,5.48285,0,40,7.6235,6.56633,0,14,1.72678,1.83862,0,14,3.16885,1.87066,0,11,4.59836,2.07111,63526,300000,50000000,2933567478,0,40,1,2.50,4669,--,63526,292185197,0,0,0,0,420,4669,263915631,63414,300000,50000000,1518205030,-1543226435814404,0,0,4609,0
0_40,67,45,28,7,49,14,38,10,1184,0,22,13.4545,3.94251,2075,6,34,23.5795,6.22627,1467,3,23,16.6705,3.68573,1283,3,24,14.5795,3.40027,1502,3,24,17.0682,3.7136,0,22,6.52814,4.64211,0,22,1.86721,2.17408,0,10,3.19563,1.50663,0,11,4.58607,2.089,63527,300000,50000000,2935377360,1,41,2,4.88,4631,--,63527,292223745,0,0,0,0,409,4631,-1543226435814404,63415,0,0,0,-1543226435814404,0,0,1858,0
