index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_156,956,0.0696114,-0.171794,0.0822252,66.5485,-164.235,78.6073,0.0960477,0.198482,0.100426,0
0_157,0,0,0,0,0,0,0,0,0,0,0
0_158,655,0.0250834,-0.032498,0.0113696,16.4296,-21.2862,7.44706,0.0489006,0.133885,0.0574024,0
0_159,1102,0.0726858,-0.170988,0.105372,80.0997,-188.429,116.12,0.143733,0.3014,0.197321,1
0_160,506,0.0042644,0.00626641,0.00918728,2.15779,3.1708,4.64877,0.0396009,0.190293,0.083899,0
0_161,2114,0.0647484,-0.158785,0.0956928,136.878,-335.671,202.295,0.148874,0.344994,0.215093,0
0_162,1027,0.104155,-0.155335,0.0569866,106.967,-159.529,58.5252,0.120431,0.220457,0.110318,0
0_163,1134,0.171603,-0.301727,0.0871111,194.598,-342.158,98.7839,0.232016,0.468124,0.249722,0
0_164,1869,0.0482385,-0.0913508,0.0686345,90.1578,-170.735,128.278,0.117379,0.273227,0.188699,1
0_165,1012,0.159181,-0.280207,0.0972328,161.092,-283.57,98.3996,0.198584,0.363445,0.192354,0
0_166,913,0.0559071,-0.0771365,0.0132998,51.0432,-70.4256,12.1428,0.090247,0.172784,0.0839233,0
0_167,1030,0.153316,-0.238082,0.0762554,157.915,-245.225,78.5431,0.181011,0.281981,0.152469,0
0_168,0,0,0,0,0,0,0,0,0,0,0
0_169,1001,0.0553726,-0.155008,0.112143,55.428,-155.163,112.255,0.122175,0.244739,0.171647,1
0_170,959,0.101434,-0.270355,0.121795,97.2752,-259.27,116.801,0.178324,0.367037,0.21973,1
0_171,969,0.077784,-0.200472,0.110127,75.3726,-194.257,106.713,0.129295,0.274251,0.174078,1
0_172,46,0.0581277,-0.0592303,-0.0406294,2.67388,-2.72459,-1.86895,0.223265,0.286942,0.246852,0
0_173,1132,0.153821,-0.256907,0.0870791,174.125,-290.819,98.5735,0.205381,0.354945,0.19542,0
0_174,901,0.162747,-0.215913,0.0430102,146.635,-194.537,38.7522,0.190181,0.400108,0.197186,0
0_175,1015,0.153966,-0.284822,0.0860152,156.276,-289.094,87.3054,0.201521,0.341354,0.171393,0
0_176,955,0.137795,-0.164902,0.0370012,131.595,-157.481,35.3362,0.172696,0.345236,0.163103,0
0_177,0,0,0,0,0,0,0,0,0,0,0
0_178,50,-0.00538316,0.104762,-0.01412,-0.269158,5.23811,-0.706,0.053226,0.321073,0.135381,0
0_179,1010,0.0772155,-0.216265,0.127432,77.9876,-218.428,128.706,0.154941,0.319077,0.206368,1
0_180,2018,0.115898,-0.121364,0.0413092,233.883,-244.913,83.3619,0.155457,0.280479,0.132325,0
0_181,932,0.0411993,-0.113065,0.0840714,38.3977,-105.377,78.3545,0.0935834,0.207441,0.135083,1
0_182,2066,0.10629,-0.126592,0.0398253,219.595,-261.538,82.279,0.170924,0.288334,0.145702,0
0_183,1349,0.0498495,-0.149068,0.121032,67.247,-201.092,163.272,0.0970561,0.246706,0.179415,1
0_184,0,0,0,0,0,0,0,0,0,0,0
0_185,1253,0.0802074,-0.131065,0.0988178,100.5,-164.224,123.819,0.12829,0.283445,0.191857,0
0_186,0,0,0,0,0,0,0,0,0,0,0
0_187,814,0.136362,-0.230747,0.0868658,110.999,-187.828,70.7087,0.16062,0.266266,0.144641,0
0_188,0,0,0,0,0,0,0,0,0,0,0
0_189,927,0.0377383,-0.077842,0.0526238,34.9834,-72.1595,48.7823,0.0809934,0.176327,0.110692,0
0_190,1184,0.153704,-0.337983,0.105062,181.985,-400.172,124.393,0.198435,0.361768,0.195187,0
0_191,989,0.0503066,-0.0890032,0.0281272,49.7532,-88.0241,27.8178,0.0623503,0.14798,0.0634772,0
0_192,0,0,0,0,0,0,0,0,0,0,0
0_193,1221,0.106282,-0.103559,0.0376685,129.77,-126.446,45.9932,0.159958,0.258282,0.143918,0
0_194,0,0,0,0,0,0,0,0,0,0,0
0_195,176,-0.00691691,0.0663862,-0.0263112,-1.21738,11.684,-4.63078,0.0702533,0.240973,0.085624,0
0_196,0,0,0,0,0,0,0,0,0,0,0
0_197,968,0.174447,-0.325749,0.116993,168.865,-315.325,113.249,0.248369,0.433099,0.24135,0
0_198,0,0,0,0,0,0,0,0,0,0,0
0_199,838,0.0644618,-0.218079,0.119278,54.019,-182.75,99.9551,0.121478,0.284866,0.183248,1
0_200,0,0,0,0,0,0,0,0,0,0,0
0_201,724,0.114559,-0.210025,0.0564717,82.9405,-152.058,40.8855,0.156267,0.289666,0.143692,0
0_202,696,0.0407861,-0.0381113,0.0183695,28.3871,-26.5255,12.7852,0.0550788,0.164994,0.0798794,0
0_203,375,0.0343816,-0.0217463,0.0117565,12.8931,-8.15488,4.4087,0.041037,0.167624,0.070327,0
0_204,41,-0.0390589,-0.1101,0.102941,-1.60142,-4.51411,4.22058,0.225079,0.253519,0.214586,0
0_205,78,0.0251686,0.0169377,-0.00915227,1.96315,1.32114,-0.713877,0.0550982,0.238748,0.0802042,0
0_206,0,0,0,0,0,0,0,0,0,0,0
0_207,985,0.0799237,-0.255935,0.103317,78.7249,-252.096,101.768,0.154447,0.314186,0.178848,1
0_208,1542,0.0398363,-0.134319,0.127177,61.4276,-207.119,196.107,0.0784746,0.190954,0.150767,1
0_209,2098,0.10206,-0.12745,0.0487862,214.122,-267.39,102.353,0.143929,0.237947,0.123549,0
0_210,2282,0.0890729,-0.101025,0.0356314,203.264,-230.54,81.3109,0.146622,0.24219,0.133244,0
0_211,884,0.0797933,-0.12957,0.0431815,70.5373,-114.54,38.1725,0.103382,0.241789,0.103838,0
0_212,0,0,0,0,0,0,0,0,0,0,0
0_213,1268,0.0342738,-0.106913,0.111281,43.4592,-135.566,141.104,0.0999533,0.236072,0.155963,1
0_214,942,0.0768764,-0.050529,0.0391191,72.4176,-47.5983,36.8502,0.094649,0.205197,0.08818,0
0_215,0,0,0,0,0,0,0,0,0,0,0
0_216,0,0,0,0,0,0,0,0,0,0,0
0_217,1049,0.131354,-0.216174,0.066182,137.79,-226.767,69.4249,0.194601,0.326616,0.164232,0
0_218,0,0,0,0,0,0,0,0,0,0,0
0_219,693,0.0404613,-0.0243979,0.00687281,28.0397,-16.9077,4.76285,0.0638384,0.1759,0.070948,0
0_220,1275,0.0529641,-0.205325,0.125345,67.5293,-261.79,159.815,0.108963,0.225592,0.167673,1
0_221,1922,0.123526,-0.130772,0.0421819,237.417,-251.344,81.0736,0.193159,0.329349,0.171006,0
0_222,1172,0.137267,-0.168665,0.0886112,160.877,-197.676,103.852,0.183889,0.300143,0.172501,0
0_223,950,0.164792,-0.283293,0.098759,156.553,-269.129,93.821,0.188351,0.313157,0.182785,0
0_224,1373,0.0183495,-0.0599945,0.0599661,25.1938,-82.3725,82.3334,0.055084,0.140333,0.0760097,1
0_225,181,0.0687432,-0.200699,0.0710555,12.4425,-36.3266,12.861,0.265125,0.434121,0.254483,0
0_226,1147,0.154529,-0.284185,0.106208,177.245,-325.961,121.821,0.23419,0.370124,0.213904,0
0_227,951,0.0944591,-0.295209,0.145222,89.8306,-280.744,138.106,0.172587,0.366317,0.223448,1
0_228,1498,0.144981,-0.205167,0.079999,217.181,-307.339,119.838,0.194456,0.323425,0.169616,0
0_229,897,0.0736025,-0.220781,0.101207,66.0215,-198.04,90.7827,0.131392,0.253239,0.157359,1
0_230,1142,0.115268,-0.321992,0.147395,131.636,-367.715,168.326,0.202033,0.40761,0.238262,1
0_231,1295,0.0551015,-0.152654,0.0950873,71.3565,-197.687,123.138,0.113226,0.217196,0.150939,1
0_232,0,0,0,0,0,0,0,0,0,0,0
0_233,1000,0.0776834,-0.216002,0.121251,77.6834,-216.002,121.251,0.139968,0.259821,0.19401,1
0_234,1536,0.13028,-0.184321,0.0729852,200.109,-283.116,112.105,0.142811,0.232156,0.112453,0
0_235,1059,0.118713,-0.291188,0.113638,125.717,-308.368,120.343,0.209822,0.410112,0.223962,0
0_236,1119,0.0643012,-0.192266,0.101002,71.9531,-215.146,113.021,0.142696,0.282879,0.183958,1
0_237,0,0,0,0,0,0,0,0,0,0,0
