index,area,perimeter,min_xpos,min_ypos,max_xpos,max_ypos,center_x,center_y,integral_CH0,min_CH0,max_CH0,ave_CH0,std_CH0,integral_CH1,min_CH1,max_CH1,ave_CH1,std_CH1,integral_CH2,min_CH2,max_CH2,ave_CH2,std_CH2,integral_CH3,min_CH3,max_CH3,ave_CH3,std_CH3,integral_CH4,min_CH4,max_CH4,ave_CH4,std_CH4,integral_CH1-CH0,min_CH1-CH0,max_CH1-CH0,ave_CH1-CH0,std_CH1-CH0,integral_CH2-CH0,min_CH2-CH0,max_CH2-CH0,ave_CH2-CH0,std_CH2-CH0,integral_CH3-CH0,min_CH3-CH0,max_CH3-CH0,ave_CH3-CH0,std_CH3-CH0,integral_CH4-CH0,min_CH4-CH0,max_CH4-CH0,ave_CH4-CH0,std_CH4-CH0,integral_Est0,min_Est0,max_Est0,ave_Est0,std_Est0,integral_Est1,min_Est1,max_Est1,ave_Est1,std_Est1,id,count,frequency,sort_timestamp,sort,n_sample,n_sort,sort_rate,proc_time,proc_idc,id,abs_time,1st_img,2nd_img,3rd_img,data_ready,proc_begin,proc_time,none,sort,result0,result1,result2,result3,result4
0_20,494,126,59,8,100,30,78,18,9676,0,49,17.5608,11.7939,7974,0,38,14.4719,9.26729,8982,0,42,16.3013,10.0993,12215,0,55,22.1688,13.0802,9718,0,45,17.637,10.9393,159,0,5,0.288566,0.763408,566,0,11,1.02722,2.01563,2540,0,15,4.6098,3.12217,487,0,7,0.883848,1.54577,158.566,-0.0645744,0.976688,0.287779,0.224357,-13.2519,-0.47891,0.298261,-0.0240506,0.0932862,20007,300000,50000000,3236914210,0,21,0,0.00,2941,--,20007,175922,0,0,0,0,296,2941,,0,483,0.285417,0.0561414,137.856,27.1163
0_21,220,69,57,8,77,29,64,17,4043,0,39,16.1076,11.0465,3407,0,30,13.5737,8.28318,3957,0,32,15.7649,8.84013,5294,0,44,21.0916,11.3068,4175,0,36,16.6335,9.73192,124,0,5,0.494024,1.10187,424,0,8,1.68924,2.44604,1251,0,13,4.98406,3.05066,331,0,5,1.31873,1.70831,93.6892,-0.157883,1,0.373264,0.265125,-3.73551,-0.577873,0.490753,-0.0148825,0.15878,20009,300000,50000000,3236940554,0,22,0,0.00,2898,--,20009,199769,0,0,0,0,274,2898,,0,183,0.323918,0.0506744,59.2771,9.27342
0_22,2645,276,6,6,122,30,63,17,18051,0,23,6.48384,5.28346,21086,0,25,7.57399,5.4033,27254,2,27,9.78951,5.30427,32630,4,31,11.7205,6.31792,24733,3,25,8.88398,5.49267,3385,0,7,1.21588,1.1783,9226,0,11,3.31394,1.59602,14583,0,11,5.23815,2.01335,6682,0,7,2.40014,1.01643,463.456,-0.273477,1,0.166471,0.219463,-74.2663,-0.462455,0.621754,-0.0266761,0.133816,20013,300000,50000000,3237480293,0,23,0,0.00,4821,--,20013,210003,0,0,0,0,460,4821,,1,2784,0.148942,0.0651071,414.653,181.258
0_23,393,86,60,9,89,30,72,19,7424,0,48,17.1852,10.4948,5801,0,36,13.4282,7.57887,6558,0,36,15.1806,7.99275,9596,0,55,22.213,11.3142,7341,0,43,16.9931,9.09734,178,0,7,0.412037,1.09783,572,0,9,1.32407,2.21246,2173,0,14,5.03009,3.28246,484,0,7,1.12037,1.60276,123.273,-0.143971,1,0.285355,0.213961,-12.322,-0.533953,0.432952,-0.0285233,0.127511,20015,300000,50000000,3238075666,0,24,0,0.00,5121,--,20015,221752,0,0,0,0,491,5121,,0,382,0.292244,0.0119188,111.637,4.55298
0_24,182,56,59,13,77,29,65,19,3454,0,47,16.5263,12.7302,2934,0,36,14.0383,9.85971,3374,0,41,16.1435,10.6981,4483,0,54,21.4498,14.0545,3553,0,44,17,11.7139,77,0,4,0.368421,0.871208,354,0,9,1.69378,2.30082,1029,0,13,4.92344,3.35662,268,0,5,1.2823,1.60791,63.1924,-0.184098,1,0.302356,0.256253,-5.37843,-0.419406,0.361368,-0.0257341,0.115382,20020,289339,50000000,3238746261,0,25,0,0.00,4815,--,20020,227929,0,0,0,0,465,4815,,0,176,0.285573,0.0496895,50.2608,8.74535
0_25,213,64,59,10,78,29,65,18,3977,0,43,16.3663,11.0778,3370,0,35,13.8683,8.24167,3910,0,37,16.0905,8.59946,5200,0,49,21.3992,11.3457,4114,0,40,16.93,9.66258,113,0,5,0.465021,0.986436,460,0,9,1.893,2.58773,1223,0,15,5.03292,3.01692,333,0,6,1.37037,1.71734,70.6688,-0.203666,1,0.290818,0.233704,-1.92651,-0.466363,0.345836,-0.00792804,0.13265,20021,300000,50000000,3238813551,0,26,0,0.00,4909,--,20021,236554,0,0,0,0,437,4909,,0,198,0.289585,0.0462037,57.3378,9.14833
0_26,120,45,93,15,110,26,100,19,4026,0,122,28.3521,31.6457,2428,0,73,17.0986,19.0101,2577,0,73,18.1479,18.5316,4538,0,123,31.9577,31.0739,3385,0,94,23.838,24.6821,13,0,3,0.0915493,0.426333,83,0,9,0.584507,1.40042,521,0,16,3.66901,3.72604,79,0,6,0.556338,1.16598,33.5618,-0.0326507,1,0.23635,0.254741,-0.7628,-0.327856,0.158695,-0.00537183,0.0884007,20023,300000,50000000,3239769347,0,27,0,0.00,4888,--,20023,245409,0,0,0,0,431,4888,,0,149,0.200166,0.000313458,29.8247,0.0467053
0_27,236,90,59,10,85,28,70,17,4861,0,75,17.6123,15.0833,3681,0,47,13.337,9.93159,4049,0,46,14.6703,10.1155,5793,0,74,20.9891,14.3311,4595,0,60,16.6486,12.1785,135,0,5,0.48913,1.09506,391,0,9,1.41667,2.39647,970,0,14,3.51449,3.54931,294,0,6,1.06522,1.67118,62.7564,-0.165945,1,0.227378,0.218701,3.2933,-0.336098,0.325981,0.0119322,0.0996452,20025,300000,50000000,3240095808,0,28,0,0.00,6566,--,20025,257011,0,0,0,0,466,6566,,0,243,0.172849,0.025059,42.0023,6.08934
0_28,185,62,60,10,78,29,66,18,3573,0,41,16.6963,11.0583,3014,0,32,14.0841,8.28705,3469,0,34,16.2103,8.65689,4702,0,48,21.972,11.3578,3690,0,39,17.243,9.70869,90,0,5,0.420561,0.962254,385,0,9,1.79907,2.5799,1129,0,14,5.2757,3.16725,288,0,6,1.34579,1.77786,76.0127,-0.125066,1,0.355199,0.259441,-5.92543,-0.554828,0.448023,-0.0276889,0.147919,20027,279724,50000000,3240512772,0,29,0,0.00,4768,--,20027,263539,0,0,0,0,569,4768,,0,174,0.317592,0.0454498,55.261,7.90826
0_29,182,66,60,10,79,29,66,17,3492,0,41,16.3944,11.218,3002,0,31,14.0939,8.45372,3433,0,34,16.1174,8.94271,4603,0,47,21.6103,11.3763,3637,0,38,17.0751,9.88402,139,0,5,0.652582,1.11812,399,0,9,1.87324,2.60874,1112,0,13,5.22066,3.15383,304,0,6,1.42723,1.8691,75.283,0,1,0.353441,0.228303,-7.32611,-0.516572,0.185851,-0.0343949,0.130137,20028,300000,50000000,3240550726,0,30,0,0.00,4679,--,20028,271874,0,0,0,0,437,4679,,0,201,0.287501,0.0519837,57.7877,10.4487
