index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_123,301,0.0475716,0.0142561,0,14.3191,4.29109,0,0.104618,0.0295979,0,0
0_124,134,-0.000107762,0.0306895,0,-0.0144401,4.11239,0,0.0759069,0.0273566,0,0
0_125,144,0.0424862,0.0195991,0,6.11802,2.82228,0,0.0774386,0.0261685,0,0
0_126,99,0.0535156,0.024857,0,5.29804,2.46085,0,0.0762064,0.0252221,0,0
0_127,102,0.0138136,0.0172767,0,1.40899,1.76222,0,0.0781324,0.0256246,0,0
0_128,216,0.0203008,0.0277426,0,4.38498,5.9924,0,0.0817767,0.0282417,0,0
0_129,245,0.00245171,0.0203009,0,0.600668,4.97371,0,0.0861633,0.0264919,0,0
0_130,613,0.0055605,0.0276909,0,3.40859,16.9745,0,0.0839603,0.0304803,0,0
0_131,760,0.00433927,0.0238694,0,3.29785,18.1407,0,0.100268,0.0300384,0,0
0_132,367,0.0520228,0.0248646,0,19.0924,9.12532,0,0.0869834,0.0311535,0,0
0_133,241,0.0311561,0.018388,0,7.50861,4.4315,0,0.0851011,0.0307558,0,0
0_134,316,0.0349309,0.024627,0,11.0382,7.78213,0,0.0865326,0.0317012,0,0
0_135,345,0.0195678,0.0289151,0,6.7509,9.97572,0,0.0885572,0.0315802,0,0
0_136,264,-0.00947326,0.0197302,0,-2.50094,5.20877,0,0.0702084,0.0277412,0,0
0_137,103,0.0435166,0.0267978,0,4.48221,2.76017,0,0.0909493,0.0315003,0,0
0_138,72,0.0150064,0.0232682,0,1.08046,1.67531,0,0.086289,0.0290426,0,0
0_139,265,0.000781039,0.0282817,0,0.206975,7.49466,0,0.0857463,0.0305877,0,0
0_140,723,0.0133236,0.0317121,0,9.63296,22.9278,0,0.0915845,0.03506,0,0
0_141,141,-0.0219315,0.019615,0,-3.09234,2.76571,0,0.0848897,0.0291325,0,0
0_142,455,-0.00925756,0.0142688,0,-4.21219,6.49231,0,0.085998,0.0271088,0,0
0_143,335,0.0281817,0.0235213,0,9.44086,7.87965,0,0.0934673,0.0322305,0,0
0_144,230,0.0161999,0.0212449,0,3.72598,4.88634,0,0.082623,0.0270704,0,0
0_145,231,0.0505166,0.0157031,0,11.6693,3.62741,0,0.0993721,0.030905,0,0
0_146,693,0.0058612,0.00696212,0,4.06181,4.82475,0,0.078932,0.0252841,0,0
0_147,0,0,0,0,0,0,0,0,0,0,0
0_148,1352,0.0179446,0.0197489,0,24.261,26.7005,0,0.0852191,0.0312585,0,0
0_149,217,0.0370011,0.0116502,0,8.02923,2.52809,0,0.0899989,0.0293138,0,0
0_150,191,0.00103165,0.0111949,0,0.197045,2.13822,0,0.0834983,0.0275748,0,0
0_151,0,0,0,0,0,0,0,0,0,0,0
0_152,131,0.0202398,0.0148573,0,2.65142,1.94631,0,0.0756778,0.023764,0,0
0_153,1356,0.035378,0.00675565,0,47.9726,9.16066,0,0.0966398,0.0305981,0,0
0_154,839,0.0619093,0.00825327,0,51.9419,6.92449,0,0.133616,0.0392194,0,1
0_155,190,-0.0142964,0.00710101,0,-2.71632,1.34919,0,0.0883806,0.0275257,0,0
0_156,170,0.0282764,0.0163415,0,4.80699,2.77805,0,0.0733048,0.0240581,0,0
0_157,267,0.0155356,0.0223412,0,4.148,5.9651,0,0.0810885,0.0263952,0,0
0_158,136,0.0107787,0.0164223,0,1.4659,2.23343,0,0.0835015,0.0260898,0,0
0_159,190,0.0475933,0.0322921,0,9.04272,6.13549,0,0.0760594,0.0292726,0,0
0_160,0,0,0,0,0,0,0,0,0,0,0
0_161,325,0.0157036,0.0179503,0,5.10366,5.83384,0,0.0851421,0.0274468,0,0
0_162,341,0.0282291,0.0192804,0,9.62613,6.57461,0,0.0745015,0.0273107,0,0
0_163,212,-0.0085329,0.0304325,0,-1.80897,6.45168,0,0.0844792,0.0339997,0,0
0_164,700,0.00891267,0.0228586,0,6.23887,16.001,0,0.0866606,0.0278872,0,0
0_165,557,0.0117917,0.0236165,0,6.56796,13.1544,0,0.0851351,0.0316466,0,0
0_166,368,0.00449577,0.0252792,0,1.65444,9.30274,0,0.0828301,0.0259937,0,0
0_167,468,0.00830505,0.0142017,0,3.88676,6.64642,0,0.0858748,0.027892,0,0
0_168,400,0.0158518,0.0176985,0,6.34073,7.07941,0,0.0810027,0.0248001,0,0
0_169,412,0.00520511,0.0258658,0,2.1445,10.6567,0,0.0925911,0.0304239,0,0
0_170,574,0.00914099,0.0137328,0,5.24693,7.88261,0,0.0889609,0.028879,0,0
0_171,302,0.00043612,0.00949526,0,0.131708,2.86757,0,0.0870817,0.0274367,0,0
0_172,1365,0.00134324,0.00763887,0,1.83352,10.4271,0,0.0865645,0.0287359,0,0
0_173,633,0.018135,0.016568,0,11.4794,10.4875,0,0.0928219,0.034939,0,0
0_174,221,0.00821618,0.00524156,0,1.81578,1.15839,0,0.08734,0.0284088,0,0
0_175,525,0.019081,0.0242158,0,10.0175,12.7133,0,0.0913126,0.0321474,0,0
0_176,0,0,0,0,0,0,0,0,0,0,0
0_177,254,0.0362669,0.0322858,0,9.21179,8.20059,0,0.0858468,0.0332357,0,0
0_178,216,0.0187009,0.0204658,0,4.03939,4.42062,0,0.0802245,0.0268202,0,0
0_179,497,0.0233896,0.0254468,0,11.6246,12.6471,0,0.0850551,0.0289501,0,0
0_180,84,0.00906496,0.032316,0,0.761457,2.71455,0,0.0916593,0.0385482,0,0
0_181,93,0.0108866,0.0232109,0,1.01245,2.15862,0,0.0815473,0.0284055,0,0
0_182,408,0.0127915,0.0190397,0,5.21895,7.76821,0,0.0962228,0.0343061,0,0
